corta,clave,descripcion,presentacion,tipo
600040109,060.004.0109,ABATELENGUAS DE MADERA DESECHABLES. LARGO 142.00 MM ANCHO 18.0 MM. ENVASE CON 500 PIEZAS. ,ENVASE CON 500 PIEZAS. ,True
5166,010.000.5166.00,"ACARBOSA DE 50 MG, TABLETA, ENVASE  CON 30 TABLETAS.",ENVASE CON 30 TABLETAS.,False
600160204,060.016.0204,ACEITE LUBRICANTE PARA PIEZA DE MANO DE BAJA VELOCIDAD.  ENVASE C/240 ML.   ,ENVASE C/240 ML.                                     ,True
600160154,060.016.0154,ACEITE MINERAL PARA USO EXTERNO FRASCO CON 250 ML ,FRASCO CON 250 ML                ,True
624,010.000.0624.00,ACENOCUMAROL Tableta 4 mg 20 tabletas,Envase con 20 tabletas. ,False
624.01,010.000.0624.01,ACENOCUMAROL Tableta 4 mg 30 tabletas,Envase con 30 tabletas. ,False
2303,010.000.2303.00,ACETAZOLAMIDA Solución inyectable 500 mg/5ml Frasco ámpula con 5 ml,Envase con un frasco ámpula con 5 ml. ,False
2302,010.000.2302.00,ACETAZOLAMIDA Tableta 250 mg 20 tabletas,Envase con 20 tabletas. ,False
4263,010.000.4263.00,ACICLOVIR Comprimido  o tableta 200 mg 25 comprimidos  o tabletas,Envase con 25 comprimidos o tabletas.,False
2126,010.000.2126.00,ACICLOVIR Comprimido  o tableta 400 mg 35 comprimidos  o  tabletas,Envase con 35 comprimidos o tabletas. ,False
4264,010.000.4264.00,ACICLOVIR Solución  inyectable 250 mg 5 frascos ámpula,Envases con 5 frascos ámpula. ,False
2830,010.000.2830.00,ACICLOVIR Ungüento  oftálmico 3 g/ 100 g Envase con 4.5 g,Envase con 4.5 g. ,False
101,010.000.0101.00,ÁCIDO  ACETILSALICÍLICO Tableta 500 mg 20 tabletas,Envase con 20 tabletas. ,False
103,010.000.0103.00,ÁCIDO  ACETILSALICÍLICO Tableta soluble o  efervescente 300 mg 20 tabletas solubles  o efervescentes,Envase con 20 tabletas solubles o efervescentes. ,False
4164,010.000.4164.00,ÁCIDO ALENDRÓNICO Tableta o  comprimido 70 mg 4 tabletas o comprimidos,Envase con 4 tabletas o comprimidos. ,False
4161,010.000.4161.00,ÁCIDO ALENDRÓNICO Tableta o comprimido 10 mg 30 tabletas o comprimidos,Envase con 30 tabletas o comprimidos. ,False
5229,010.000.5229.00,ÁCIDO ASCÓRBICO SOLUCIÓN INYECTABLE - 1G - 6 AMPOLLETAS CON 10 ML,ENVASE,False
2707,010.000.2707.00,ÁCIDO ASCÓRBICO Tableta 100 mg 20 tabletas,Envase con 20 tabletas. ,False
1711,010.000.1711.00,ÁCIDO FÓLICO Tableta 0.4 mg 90 tabletas,Envase con 90 tabletas.,False
1700,010.000.1700.00,ÁCIDO FÓLICO Tableta 4 mg 90 tabletas,Envase con 90 tabletas. ,False
1706,010.000.1706.00,ÁCIDO FÓLICO Tableta 5 mg 20 tabletas,Envase con 20 tabletas.,False
1706.01,010.000.1706.01,ÁCIDO FÓLICO Tableta 5 mg 92 tabletas,Envase con 92 tabletas. ,False
2152,010.000.2152.00,ÁCIDO FOLÍNICO Solución inyectable 15 mg/5 ml 5 ampolletas con 5 ml,Envase con 5 ampolletas con 5 ml. ,False
5233,010.000.5233.00,ÁCIDO FOLÍNICO Tableta 15 mg 12 tabletas,Envase con 12 tabletas. ,False
2192,010.000.2192.00,ACIDO FOLINICO. SOLUCION INYECTABLE. CADA AMPOLLETA CONTIENE: FOLINATO  CALCICO EQUIVALENTE A 50 MG DE ACIDO FOLINICO. ENVASE CON UNA AMPOLLETA DE 4 ML.,PIEZA,False
1707,010.000.1707.00,ACIDO FOLINICO. SOLUCION INYECTABLE. CADA AMPOLLETA O FRASCO AMPULA CONTIENE: FOLINATO CALCICO EQUIVALENTE A 3 MG DE ACIDO FOLINICO.  ENVASE CON 6 AMPOLLETAS O FRASCOS  AMPULA CON 1 ML.,PIEZA,False
SC-0000132,SC-0000132,"ACIDO FOSFORICO, SURFACTANTE NO IONICO, BIODEGRADABLE, COLORANTE, FRAGANCIA Y AGUA DESTILADA FRASCO CON 650 ML",PIEZA,True
5306,010.000.5306.00,ACIDO MICOFENOLICO. TABLETAS. CADA  TABLETA CONTIENE:   MICOFENOLATO  DE MOFETILO 500 MG. ENVASE CON 50  TABLETAS.,ENVASE,False
904,010.000.0904.00,ÁCIDO RETINOICO Crema 0.05 g/ 100 g Envase con 20 g,Envase con 20 g. ,False
4167,010.000.4167.00,ÁCIDO RISEDRÓNICO Gragea o  tableta 35 mg 4 grageas o tabletas,Envase con 4 grageas o tabletas.,False
2620,010.000.2620.00,ÁCIDO VALPROICO Cápsula 250 mg 60 cápsulas,Envase con 60 cápsulas. ,False
5468,010.000.5468.00,ÁCIDO ZOLEDRÓNICO Solución  inyectable 4.0 mg/5 ml Frasco ámpula,Envase con un frasco ámpula. ,False
SC-0000133,SC-0000133,ADAPTADOR PARA CUCHILLAS DESECHABLES  PIEZA,PIEZA,True
5099,010.000.5099.00,ADENOSINA Solución  inyectable 6 mg 6 frascos ámpula con 2 ml,Envase con 6 frascos ámpula con 2 ml. ,False
SC-0000135,SC-0000135,AGITADOR MANUAL  ENVASE CON 100 PIEZAS,ENVACE DE 100 PIEZAS,True
SC-0000136,SC-0000136,AGUA BIDESTILADA PIEZA,ENVACE DE 100 PIEZAS,True
3675,010.000.3675.00,AGUA INYECTABLE SOLUCIÓN INYECTABLE  CADA FRASCO CONTIENE: AGUA  INYECTABLE 500 ML. ,ENVASE CON 500 ML.,False
600340103,060.034.0103,AGUA OXIGENADA EN CONCENTRACIÓN DEL 2.5 A 3.5%.ENVASE CON 480 ML.,ENVASE CON 480 ML.   ,True
SC-0000131,SC-0000131,"AGUJA DESECHABLE DE 18G X 32 ML., ENVASE CON 100 PIEZAS",ENVACE DE 100 PIEZAS,True
600403729,060.040.3729,AGUJA HIPODÉRMICA CON PABELLON LUER LOCK HEMBRA DE PLASTICO DESCHABLES 20 G X 38 MM. ENVASE CON 100 PZAS.,ENVASE CON 100 PIEZAS,True
600403786,060.040.3786,AGUJA HIPODÉRMICA CON PABELLON LUER LOCK HEMBRA DE PLASTICO DESCHABLES 22 G X 32 MM. ENVASE CON 100 PZAS.,ENVASE CON 100 PIEZAS,True
600403745,060.040.3745,"AGUJA HIPODERMICA CON PABELLON LUER LOCK HEMBRA DE PLASTICO DESECHABLES. LONGITUD: 32 MM, CALIBRE: 21 G. ENVASE CON 100 PIEZAS.",ENVASE CON 100 PIEZAS,True
600403760,060.040.3760,AGUJA HIPODÉRMICAS. CON PABELLÓN LUER LOCK HEMBRA DE PLÁSTICO. DESECHABLES. LONGITUD: 16 MM CALIBRE: 25 G. ENVASE CON 100 PIEZAS.,ENVASE CON 100 PIEZAS,True
600400287,060.040.0287,AGUJA PARA ANESTESIA EPIDURAL DE PAREDES DELGADA MODELO TOUHY LONG. 7.5 A 8.6 CM CAL. 16 G. PIEZA.,PIEZA,True
600402028,060.040.2028,AGUJA PARA ANESTESIA EPIDURAL DE PAREDES DELGADA MODELO TOUHY LONG. 7.5 A 8.6 CM CAL. 18 G. PIEZA.,PIEZA,True
600400790,060.040.0790,AGUJA PARA BIOPSIA DE HUESO REESTERILIZABLE TIPO JAMSHIDI CALIBRE 11 G LONGITUD 10 CM PIEZA,PIEZA,True
SC-0000130,SC-0000130,AGUJA PARA BIOPSIA DE HUESO REESTERILIZABLE TIPO JAMSHIDI CALIBRE 16 G LONGITUD 5 CM PIEZA ,PIEZA,True
600400543,060.040.0543,"AGUJA PARA RAQUIANESTESIA O BLOQUEO SUBARACNOIDEO DE ACERO INOXIDABLE, MANDRIL CON BOTON INDICADOR DE ORIENTACION DE BISEL Y CONECTOR DE LUER LOCK HEMBRA TRANSLUCIDO. ESTERIL Y DESECHABLE  TIPO WHITACRE CAL. 25 O 27 G. PIEZA.",PIEZA.,True
600409007,060.040.9007,"AGUJA PARA RAQUIANESTESIA O BLOQUEO SUBARACNOIDEO DE ACERO INOXIDABLE, MANDRIL CON BOTON INDICADOR DE ORIENTACION DE BISEL Y CONECTOR DE LUER LOCK HEMBRA TRANSLUCIDO. ESTERIL Y DESECHABLE  TIPO WHITACRE. LONG. 8,7 A 9,1 CM.  CAL. 22 . PIEZA.",PIEZA.,True
SC-0000129,SC-0000129,AGUJA PARA RAQUIANESTESIA O BLOQUEO SUBARACNOIDEO TIPO QUINCKE ESTERIL Y DESECHABLE  LONGITUD 50 X 90 MM CALIBRE 25 G. PIEZA,PIEZA,True
SC-0000128,SC-0000128,AGUJA PARA RAQUIANESTESIA O BLOQUEO SUBARACNOIDEO TIPO QUINCKE ESTERIL Y DESECHABLE  LONGITUD 50 X 90 MM CALIBRE 27 G. PIEZA,PIEZA,True
